Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type     Prt  VTEP             Moves   Last Move
----  -----------     ----     ---  ----             -----   ---------
 110  5001.0002.f6c5  EVPN     Vx1  192.168.254.5    1       1:22:17 ago
 110  5001.0056.2a6e  EVPN     Vx1  192.168.254.3    1       2:03:40 ago
1196  5201.0068.b446  EVPN     Vx1  192.168.254.11   1       18:10:34 ago
1199  0c1d.c0d2.9e98  EVPN     Vx1  192.168.254.8    1       18:10:38 ago
1199  0e1d.c025.6541  EVPN     Vx1  192.168.254.9    1       18:10:37 ago
1199  0e1d.c0a3.43e0  EVPN     Vx1  192.168.254.5    1       18:10:26 ago
1199  0e1d.c0f0.bdd1  EVPN     Vx1  192.168.254.3    1       18:10:37 ago
1199  5201.0068.b446  EVPN     Vx1  192.168.254.11   1       18:10:34 ago
Total Remote Mac Addresses for this criterion: 8
